Time,ChipID,T1,T2,T3
0.01,1,0,7136,9868,21966
0.02,1,1,7237,9976,29631
0.03,1,2,6544,10083,28509
0.04,1,3,6934,9365,12997
0.51,2,0,7139,9866,22136
0.52,2,1,7236,9974,29070
0.52,2,2,6546,10079,28480
0.54,2,3,6932,9365,12909
1.00,3,0,7138,9866,22061
1.01,3,1,7235,9973,29085
1.02,3,2,6544,10080,28568
1.03,3,3,6935,9365,12786
1.51,4,0,7138,9870,22096
1.52,4,1,7234,9962,29100
1.52,4,2,6546,10087,28533
1.53,4,3,6933,9358,12832
2.00,5,0,7138,9871,21975
2.01,5,1,7234,9967,29343
2.02,5,2,6544,10088,28593
2.03,5,3,6932,9354,12785
2.51,6,0,7137,9875,21928
2.52,6,1,7233,9961,29526
2.52,6,2,6546,10091,28641
2.53,6,3,6932,9355,12899
3.00,7,0,7138,9873,21918
3.01,7,1,7235,9976,29065
3.02,7,2,6543,10083,28483
3.03,7,3,6932,9359,12895
3.51,8,0,7138,9878,21977
3.52,8,1,7234,9965,29388
3.52,8,2,6542,10092,28372
3.53,8,3,6933,9356,12868
4.01,9,0,7136,9878,21983
4.01,9,1,7234,9967,29457
4.03,9,2,6544,10099,28314
4.03,9,3,6932,9357,12739
4.51,10,0,7137,9871,21965
4.52,10,1,7234,9971,28800
4.53,10,2,6542,10083,28548
4.53,10,3,6932,9367,12785
5.01,11,0,7136,9870,21844
5.01,11,1,7235,9977,29514
5.03,11,2,6543,10090,28385
5.03,11,3,6932,9366,12831
5.51,12,0,7137,9872,21656
5.52,12,1,7234,9976,29520
5.53,12,2,6543,10087,28542
5.53,12,3,6933,9365,12764
6.01,13,0,7138,9868,21718
6.01,13,1,7233,9977,28879
6.03,13,2,6544,10085,28424
6.03,13,3,6933,9364,12822
6.51,14,0,7138,9872,21908
6.52,14,1,7231,9978,28800
6.53,14,2,6543,10086,28333
6.53,14,3,6933,9364,12786
7.01,15,0,7136,9875,21756
7.01,15,1,7233,9966,28953
7.03,15,2,6543,10087,28194
7.03,15,3,6932,9360,12762
7.51,16,0,7137,9869,21766
7.52,16,1,7234,9980,29454
7.53,16,2,6545,10082,28749
7.53,16,3,6931,9364,12764
8.01,17,0,7137,9870,21861
8.02,17,1,7234,9979,29451
8.02,17,2,6543,10083,28041
8.03,17,3,6931,9367,12820
8.51,18,0,7137,9866,21822
8.52,18,1,7235,9981,29367
8.52,18,2,6545,10082,28236
8.53,18,3,6934,9365,12669
9.01,19,0,7138,9856,21920
9.02,19,1,7235,9987,29561
9.02,19,2,6544,10076,28245
9.03,19,3,6933,9374,12805
9.51,20,0,7138,9864,21900
9.52,20,1,7235,9983,29354
9.52,20,2,6544,10078,28322
9.53,20,3,6932,9369,12821
10.01,21,0,7139,9859,21812
10.02,21,1,7235,9985,29503
10.02,21,2,6543,10073,28173
10.03,21,3,6933,9378,12912
10.51,22,0,7138,9867,21749
10.52,22,1,7235,9974,29614
10.52,22,2,6543,10086,28205
10.53,22,3,6934,9362,12907
11.01,23,0,7139,9869,21929
11.02,23,1,7235,9970,29356
11.02,23,2,6544,10082,28530
11.03,23,3,6934,9365,12811
11.51,24,0,7138,9869,22169
11.52,24,1,7235,9977,29424
11.52,24,2,6545,10085,28245
11.53,24,3,6934,9363,12852
12.01,25,0,7139,9865,21867
12.02,25,1,7236,9970,29144
12.02,25,2,6544,10086,28366
12.03,25,3,6933,9365,12897
12.51,26,0,7139,9870,22006
12.52,26,1,7234,9974,29777
12.52,26,2,6544,10081,28231
12.53,26,3,6934,9362,12960
13.01,27,0,7137,9865,22029
13.02,27,1,7234,9970,29077
13.02,27,2,6545,10089,28516
13.03,27,3,6933,9365,12925
13.51,28,0,7139,9869,21989
13.52,28,1,7234,9970,29884
13.52,28,2,6544,10087,28740
13.53,28,3,6934,9357,12927
14.01,29,0,7138,9871,21802
14.02,29,1,7235,9966,29358
14.02,29,2,6544,10085,28320
14.03,29,3,6933,9356,12980
14.51,30,0,7139,9872,21945
14.52,30,1,7236,9962,29939
14.52,30,2,6544,10089,28381
14.53,30,3,6934,9351,12939
15.01,31,0,7139,9866,21949
15.02,31,1,7234,9959,29825
15.02,31,2,6544,10083,28574
15.03,31,3,6932,9355,12927
15.51,32,0,7140,9873,22144
15.52,32,1,7236,9962,29639
15.52,32,2,6543,10091,28537
15.53,32,3,6934,9351,12909
16.01,33,0,7139,9871,22138
16.02,33,1,7234,9961,29950
16.03,33,2,6544,10090,28201
16.04,33,3,6933,9353,13028
16.51,34,0,7140,9865,21977
16.52,34,1,7235,9968,29874
16.53,34,2,6544,10078,28521
16.54,34,3,6935,9358,12961
17.01,35,0,7140,9861,22294
17.02,35,1,7237,9968,29797
17.03,35,2,6544,10084,28579
17.04,35,3,6934,9356,13035
17.51,36,0,7139,9863,22028
17.52,36,1,7236,9967,29875
17.53,36,2,6545,10081,28379
17.54,36,3,6935,9356,13110
18.01,37,0,7141,9868,22052
18.02,37,1,7234,9964,29862
18.03,37,2,6544,10085,28577
18.04,37,3,6934,9357,13090
18.51,38,0,7140,9865,22376
18.52,38,1,7237,9968,30196
18.53,38,2,6545,10085,28688
18.54,38,3,6933,9353,13115
19.01,39,0,7140,9864,22261
19.02,39,1,7237,9960,30027
19.03,39,2,6542,10077,28338
19.04,39,3,6935,9363,13050
19.51,40,0,7141,9855,22280
19.52,40,1,7236,9970,30152
19.53,40,2,6545,10073,28776
19.54,40,3,6935,9362,13090
20.01,41,0,7140,9858,22234
20.02,41,1,7235,9969,30224
20.03,41,2,6544,10071,28832
20.04,41,3,6935,9360,13153
20.51,42,0,7141,9859,22111
20.52,42,1,7237,9966,29524
20.53,42,2,6545,10079,28624
