Time,ChipID,T1,T2,T3
0.01,1,0,6944,10593,3746
0.02,1,1,7041,10629,5087
0.03,1,2,6370,10769,4591
0.04,1,3,6742,10118,2232
0.51,2,0,6946,10581,3768
0.52,2,1,7040,10631,5031
0.52,2,2,6371,10758,4613
0.54,2,3,6742,10115,2234
1.00,3,0,6947,10586,3769
1.01,3,1,7042,10635,5018
1.02,3,2,6370,10756,4638
1.03,3,3,6742,10124,2247
1.51,4,0,6948,10578,3765
1.52,4,1,7039,10630,5016
1.52,4,2,6372,10753,4669
1.53,4,3,6743,10117,2235
2.00,5,0,6947,10580,3773
2.01,5,1,7040,10635,5025
2.02,5,2,6372,10756,4626
2.03,5,3,6742,10121,2244
2.51,6,0,6948,10577,3753
2.52,6,1,7040,10633,5123
2.52,6,2,6372,10755,4616
2.53,6,3,6743,10120,2244
3.00,7,0,6947,10580,3794
3.01,7,1,7039,10632,5041
3.02,7,2,6372,10755,4666
3.03,7,3,6741,10122,2239
3.51,8,0,6948,10577,3783
3.52,8,1,7042,10629,5084
3.52,8,2,6372,10757,4618
3.53,8,3,6741,10117,2231
4.01,9,0,6946,10592,3770
4.01,9,1,7040,10629,5069
4.03,9,2,6372,10772,4625
4.03,9,3,6742,10115,2225
4.51,10,0,6948,10588,3762
4.52,10,1,7041,10622,5063
4.53,10,2,6372,10764,4610
4.53,10,3,6741,10107,2231
5.01,11,0,6947,10596,3743
5.01,11,1,7041,10633,5053
5.03,11,2,6371,10770,4646
5.03,11,3,6743,10113,2203
5.51,12,0,6946,10591,3768
5.52,12,1,7038,10626,4982
5.53,12,2,6371,10764,4596
5.53,12,3,6742,10109,2235
6.01,13,0,6948,10593,3753
6.01,13,1,7039,10628,4977
6.03,13,2,6371,10765,4618
6.03,13,3,6741,10112,2210
6.51,14,0,6948,10590,3734
6.52,14,1,7040,10621,5013
6.53,14,2,6372,10764,4620
6.53,14,3,6741,10112,2216
7.01,15,0,6947,10594,3744
7.01,15,1,7039,10628,5062
7.03,15,2,6372,10767,4604
7.03,15,3,6743,10115,2221
7.51,16,0,6947,10593,3744
7.52,16,1,7039,10627,4957
7.53,16,2,6371,10764,4599
7.53,16,3,6741,10113,2212
8.01,17,0,6946,10597,3741
8.02,17,1,7043,10630,4956
8.02,17,2,6372,10767,4641
8.03,17,3,6742,10122,2238
8.51,18,0,6946,10592,3720
8.52,18,1,7040,10628,5044
8.52,18,2,6374,10762,4606
8.53,18,3,6741,10115,2226
9.01,19,0,6945,10599,3733
9.02,19,1,7041,10637,4919
9.02,19,2,6373,10769,4590
9.03,19,3,6741,10117,2214
9.51,20,0,6947,10594,3716
9.52,20,1,7042,10626,4933
9.52,20,2,6372,10764,4576
9.53,20,3,6741,10115,2205
10.01,21,0,6946,10603,3692
10.02,21,1,7040,10630,5010
10.02,21,2,6372,10767,4576
10.03,21,3,6740,10122,2210
10.51,22,0,6946,10597,3698
10.52,22,1,7039,10623,5022
10.52,22,2,6371,10766,4578
10.53,22,3,6741,10115,2218
11.01,23,0,6945,10598,3700
11.02,23,1,7039,10636,5017
11.02,23,2,6372,10771,4596
11.03,23,3,6740,10120,2212
11.51,24,0,6945,10599,3680
11.52,24,1,7041,10628,4965
11.52,24,2,6372,10766,4556
11.53,24,3,6738,10118,2191
12.01,25,0,6945,10605,3659
12.02,25,1,7040,10633,4968
12.02,25,2,6371,10771,4562
12.03,25,3,6741,10128,2169
12.51,26,0,6946,10601,3683
12.52,26,1,7039,10629,4924
12.52,26,2,6370,10771,4567
12.53,26,3,6740,10118,2202
13.01,27,0,6946,10599,3700
13.02,27,1,7039,10637,4910
13.02,27,2,6370,10773,4607
13.03,27,3,6740,10124,2185
13.51,28,0,6946,10595,3683
13.52,28,1,7038,10624,4891
13.52,28,2,6371,10768,4548
13.53,28,3,6740,10119,2197
14.01,29,0,6946,10599,3698
14.02,29,1,7039,10631,4944
14.02,29,2,6370,10770,4576
14.03,29,3,6741,10129,2195
14.51,30,0,6945,10595,3664
14.52,30,1,7037,10631,4891
14.52,30,2,6372,10767,4558
14.53,30,3,6741,10121,2193
15.01,31,0,6946,10603,3697
15.02,31,1,7038,10638,4943
15.02,31,2,6371,10775,4527
15.03,31,3,6737,10125,2183
15.51,32,0,6944,10599,3651
15.52,32,1,7038,10631,4896
15.52,32,2,6371,10767,4544
15.53,32,3,6737,10123,2162
16.01,33,0,6945,10602,3657
16.02,33,1,7039,10638,4832
16.03,33,2,6370,10772,4502
16.04,33,3,6739,10123,2177
16.51,34,0,6944,10602,3664
16.52,34,1,7038,10632,4870
16.53,34,2,6371,10771,4580
16.54,34,3,6739,10119,2188
17.01,35,0,6945,10610,3665
17.02,35,1,7038,10632,4956
17.03,35,2,6370,10777,4536
17.04,35,3,6738,10121,2184
17.51,36,0,6945,10606,3624
17.52,36,1,7038,10631,4852
17.53,36,2,6369,10776,4561
17.54,36,3,6738,10120,2170
18.01,37,0,6945,10608,3659
18.02,37,1,7038,10638,4926
18.03,37,2,6370,10782,4505
18.04,37,3,6738,10122,2159
18.51,38,0,6946,10605,3628
18.52,38,1,7035,10633,4839
18.53,38,2,6371,10778,4542
18.54,38,3,6738,10116,2179
19.01,39,0,6944,10609,3656
19.02,39,1,7038,10634,4955
19.03,39,2,6369,10788,4534
19.04,39,3,6738,10124,2169
19.51,40,0,6946,10606,3598
19.52,40,1,7038,10624,4851
19.53,40,2,6370,10780,4511
19.54,40,3,6738,10118,2185
20.01,41,0,6945,10611,3654
20.02,41,1,7036,10624,4920
20.03,41,2,6369,10782,4499
20.04,41,3,6739,10116,2168
20.51,42,0,6946,10611,3649
20.52,42,1,7038,10621,4909
20.53,42,2,6370,10784,4531
20.54,42,3,6739,10114,2158
21.01,43,0,6944,10614,3604
21.02,43,1,7038,10628,4902
21.03,43,2,6370,10786,4486
21.04,43,3,6741,10119,2170
21.51,44,0,6944,10604,3652
21.52,44,1,7039,10628,4938
21.53,44,2,6370,10778,4509
21.54,44,3,6740,10120,2168
22.01,45,0,6944,10605,3632
22.02,45,1,7040,10630,4947
22.03,45,2,6370,10776,4538
22.04,45,3,6739,10122,2176
22.51,46,0,6944,10607,3689
22.52,46,1,7040,10626,4923
22.53,46,2,6369,10778,4540
22.54,46,3,6739,10118,2171
23.01,47,0,6946,10616,3673
23.02,47,1,7040,10624,4959
23.03,47,2,6370,10788,4566
23.04,47,3,6739,10120,2170
23.51,48,0,6947,10605,3689
23.52,48,1,7040,10620,4900
23.53,48,2,6369,10782,4536
23.54,48,3,6739,10114,2183
24.01,49,0,6945,10612,3665
24.02,49,1,7042,10627,4944
24.03,49,2,6369,10782,4501
24.04,49,3,6742,10112,2181
24.51,50,0,6945,10608,3667
24.52,50,1,7041,10620,4953
24.53,50,2,6371,10784,4579
24.54,50,3,6742,10106,2204
25.01,51,0,6946,10618,3685
25.02,51,1,7039,10621,4977
25.03,51,2,6369,10783,4543
25.04,51,3,6742,10115,2212
25.51,52,0,6947,10607,3688
25.52,52,1,7038,10621,4988
25.53,52,2,6369,10782,4508
25.54,52,3,6742,10109,2194
26.01,53,0,6946,10603,3693
26.02,53,1,7040,10631,4896
26.03,53,2,6372,10773,4515
26.04,53,3,6742,10120,2193
26.51,54,0,6946,10593,3696
26.52,54,1,7040,10624,5035
26.53,54,2,6371,10767,4540
26.54,54,3,6740,10116,2199
27.01,55,0,6946,10603,3700
27.02,55,1,7039,10632,4969
27.03,55,2,6370,10770,4549
27.04,55,3,6742,10118,2215
27.51,56,0,6946,10595,3694
27.52,56,1,7042,10625,4998
27.53,56,2,6370,10768,4571
27.54,56,3,6742,10113,2209
28.01,57,0,6946,10603,3715
28.02,57,1,7041,10634,4885
28.03,57,2,6371,10771,4551
28.04,57,3,6742,10117,2212
28.51,58,0,6945,10595,3719
28.52,58,1,7041,10629,5049
28.53,58,2,6369,10769,4599
28.54,58,3,6743,10114,2218
29.01,59,0,6946,10598,3749
29.02,59,1,7041,10626,4996
29.03,59,2,6372,10774,4567
29.04,59,3,6742,10117,2226
29.51,60,0,6946,10594,3703
29.52,60,1,7039,10621,5042
29.53,60,2,6371,10765,4555
29.54,60,3,6742,10112,2215
30.01,61,0,6948,10596,3745
30.02,61,1,7041,10627,5027
30.03,61,2,6371,10768,4603
30.04,61,3,6743,10113,2227
30.51,62,0,6947,10593,3736
30.52,62,1,7041,10621,5052
30.53,62,2,6372,10765,4631
30.54,62,3,6741,10111,2237
31.01,63,0,6948,10599,3773
31.02,63,1,7040,10625,5023
31.03,63,2,6372,10772,4618
31.04,63,3,6743,10112,2234
31.51,64,0,6946,10590,3766
31.52,64,1,7042,10621,4957
31.53,64,2,6372,10762,4578
31.54,64,3,6742,10110,2218
32.00,65,0,6948,10596,3771
32.02,65,1,7042,10626,5112
32.02,65,2,6372,10767,4590
32.04,65,3,6741,10109,2255
32.50,66,0,6947,10587,3766
32.52,66,1,7042,10622,5064
32.52,66,2,6372,10762,4615
32.54,66,3,6741,10108,2234
33.00,67,0,6948,10593,3757
33.02,67,1,7040,10624,5071
33.02,67,2,6372,10769,4619
33.04,67,3,6743,10115,2232
33.50,68,0,6948,10590,3783
33.52,68,1,7041,10624,5079
33.52,68,2,6370,10764,4592
33.54,68,3,6742,10112,2252
34.00,69,0,6948,10591,3755
34.02,69,1,7041,10628,5029
34.02,69,2,6371,10764,4606
34.04,69,3,6741,10112,2254
34.50,70,0,6947,10591,3773
34.52,70,1,7041,10620,5007
34.52,70,2,6370,10767,4648
34.54,70,3,6743,10107,2238
35.00,71,0,6948,10597,3740
35.02,71,1,7042,10623,5085
35.02,71,2,6370,10768,4612
35.04,71,3,6743,10107,2246
35.50,72,0,6948,10587,3792
35.52,72,1,7042,10620,5108
35.52,72,2,6374,10764,4602
35.54,72,3,6742,10106,2218
36.00,73,0,6948,10590,3753
36.02,73,1,7042,10627,5017
36.02,73,2,6370,10771,4601
