Time,ChipID,T1,T2,T3
0.01,1,0,7060,10148,10893
0.02,1,1,7158,10222,14695
0.03,1,2,6477,10352,13942
0.04,1,3,6856,9651,6466
0.51,2,0,7062,10153,10841
0.52,2,1,7159,10218,14670
0.52,2,2,6477,10347,13854
0.54,2,3,6857,9651,6466
1.00,3,0,7061,10156,10890
1.01,3,1,7158,10222,14807
1.02,3,2,6476,10349,13988
1.03,3,3,6858,9649,6424
1.51,4,0,7062,10146,10845
1.52,4,1,7159,10224,14823
1.52,4,2,6475,10346,13918
1.53,4,3,6856,9650,6439
2.00,5,0,7063,10148,10853
2.01,5,1,7158,10229,14717
2.02,5,2,6477,10351,14013
2.03,5,3,6858,9660,6427
2.51,6,0,7062,10147,10822
2.52,6,1,7160,10225,14905
2.52,6,2,6476,10346,13919
2.53,6,3,6857,9654,6496
3.00,7,0,7063,10153,10924
3.01,7,1,7158,10225,14704
3.02,7,2,6477,10348,13975
3.03,7,3,6856,9651,6468
3.51,8,0,7063,10146,10915
3.52,8,1,7160,10225,14963
3.52,8,2,6478,10348,14004
3.53,8,3,6858,9651,6475
4.01,9,0,7064,10160,10906
4.01,9,1,7160,10208,14932
4.03,9,2,6477,10354,13876
4.03,9,3,6856,9642,6508
4.51,10,0,7064,10166,10890
4.52,10,1,7160,10215,15043
4.53,10,2,6477,10355,13867
4.53,10,3,6858,9640,6448
5.01,11,0,7063,10155,10827
5.01,11,1,7158,10223,14978
5.03,11,2,6477,10354,13864
5.03,11,3,6859,9646,6466
5.51,12,0,7064,10161,10880
5.52,12,1,7160,10222,14693
5.53,12,2,6477,10355,14114
5.53,12,3,6857,9645,6436
6.01,13,0,7062,10150,10913
6.01,13,1,7158,10224,14898
6.03,13,2,6476,10351,13968
6.03,13,3,6860,9653,6436
6.51,14,0,7064,10158,10840
6.52,14,1,7161,10214,14962
6.53,14,2,6476,10356,14093
6.53,14,3,6858,9644,6488
7.01,15,0,7063,10163,10955
7.01,15,1,7159,10211,14815
7.03,15,2,6476,10354,13918
7.03,15,3,6858,9645,6422
7.51,16,0,7063,10162,10839
7.52,16,1,7160,10221,14942
7.53,16,2,6477,10350,14071
7.53,16,3,6859,9653,6496
8.01,17,0,7063,10155,10878
8.02,17,1,7159,10217,14783
8.02,17,2,6477,10354,13989
8.03,17,3,6859,9649,6462
8.51,18,0,7064,10157,10836
8.52,18,1,7158,10223,14839
8.52,18,2,6477,10353,14020
8.53,18,3,6859,9652,6479
9.01,19,0,7063,10156,10909
9.02,19,1,7161,10225,14919
9.02,19,2,6477,10353,13858
9.03,19,3,6859,9654,6435
9.51,20,0,7064,10151,10854
9.52,20,1,7159,10222,14657
9.52,20,2,6478,10348,13926
9.53,20,3,6859,9656,6474
10.01,21,0,7063,10148,10906
10.02,21,1,7158,10227,14572
10.02,21,2,6477,10352,14031
10.03,21,3,6859,9658,6481
10.51,22,0,7065,10148,10945
10.52,22,1,7157,10217,14824
10.52,22,2,6478,10345,14119
10.53,22,3,6856,9651,6442
11.01,23,0,7064,10156,10900
11.02,23,1,7158,10225,14898
11.02,23,2,6478,10345,14105
11.03,23,3,6857,9655,6476
11.51,24,0,7064,10151,10955
11.52,24,1,7158,10222,14681
11.52,24,2,6477,10349,13967
11.53,24,3,6859,9657,6445
12.01,25,0,7063,10150,10938
12.02,25,1,7158,10223,14904
12.02,25,2,6476,10346,13930
12.03,25,3,6858,9652,6437
12.51,26,0,7063,10151,10944
12.52,26,1,7158,10226,14965
12.52,26,2,6476,10345,13879
12.53,26,3,6859,9654,6459
13.01,27,0,7062,10147,10802
13.02,27,1,7158,10219,14766
13.02,27,2,6478,10346,13976
13.03,27,3,6858,9655,6413
13.51,28,0,7063,10152,10913
13.52,28,1,7159,10222,15014
13.52,28,2,6475,10349,14014
13.53,28,3,6859,9657,6480
14.01,29,0,7063,10153,10872
14.02,29,1,7161,10232,14716
14.02,29,2,6478,10351,13957
14.03,29,3,6858,9651,6437
14.51,30,0,7062,10151,10947
14.52,30,1,7160,10227,14815
14.52,30,2,6477,10341,14065
14.53,30,3,6859,9658,6393
15.01,31,0,7062,10148,10828
15.02,31,1,7159,10230,14656
15.02,31,2,6477,10349,14026
15.03,31,3,6859,9654,6431
15.51,32,0,7063,10150,10927
15.52,32,1,7159,10227,14921
15.52,32,2,6478,10343,14011
15.53,32,3,6858,9651,6478
16.01,33,0,7062,10145,10906
16.02,33,1,7161,10236,14697
16.03,33,2,6477,10346,13995
16.04,33,3,6859,9659,6414
16.51,34,0,7062,10139,10912
16.52,34,1,7159,10234,14853
16.53,34,2,6477,10338,14099
16.54,34,3,6859,9662,6434
17.01,35,0,7064,10146,10909
17.02,35,1,7158,10232,14819
17.03,35,2,6477,10344,13994
17.04,35,3,6857,9667,6428
17.51,36,0,7063,10147,10849
17.52,36,1,7158,10225,15023
17.53,36,2,6477,10338,14059
17.54,36,3,6858,9661,6404
18.01,37,0,7063,10140,10861
18.02,37,1,7159,10233,14882
18.03,37,2,6478,10343,13909
18.04,37,3,6857,9662,6426
18.51,38,0,7063,10137,10860
18.52,38,1,7159,10237,14974
18.53,38,2,6478,10340,13923
18.54,38,3,6857,9665,6416
19.01,39,0,7063,10149,10917
19.02,39,1,7159,10228,14917
19.03,39,2,6476,10346,14082
19.04,39,3,6856,9659,6426
19.51,40,0,7063,10144,10793
19.52,40,1,7159,10233,14937
19.53,40,2,6478,10340,14008
19.54,40,3,6859,9655,6417
20.01,41,0,7064,10150,10926
20.02,41,1,7158,10224,14741
20.03,41,2,6478,10343,14141
20.04,41,3,6856,9659,6479
20.51,42,0,7063,10151,10863
20.52,42,1,7160,10229,14646
20.53,42,2,6477,10350,13936
20.54,42,3,6856,9653,6450
21.01,43,0,7062,10152,10912
21.02,43,1,7158,10227,14649
21.03,43,2,6476,10349,13947
21.04,43,3,6857,9657,6466
21.51,44,0,7063,10147,10953
21.52,44,1,7160,10228,14882
21.53,44,2,6477,10344,13979
21.54,44,3,6857,9658,6444
22.01,45,0,7063,10148,10933
22.02,45,1,7159,10222,14811
22.03,45,2,6477,10344,13943
22.04,45,3,6858,9656,6416
22.51,46,0,7062,10152,10909
22.52,46,1,7159,10223,14735
22.53,46,2,6475,10343,13917
22.54,46,3,6858,9651,6441
23.01,47,0,7062,10154,10827
23.02,47,1,7160,10229,14949
23.03,47,2,6475,10347,13800
23.04,47,3,6858,9658,6450
23.51,48,0,7063,10145,10857
23.52,48,1,7160,10228,15003
23.53,48,2,6476,10347,14115
23.54,48,3,6858,9652,6413
24.01,49,0,7062,10153,10895
