Time,ChipID,T1,T2,T3
0.01,1,0,7052,10179,10380
0.02,1,1,7150,10247,13974
0.03,1,2,6471,10376,13070
0.04,1,3,6852,9683,6054
0.51,2,0,7055,10172,10228
0.52,2,1,7151,10244,13716
0.52,2,2,6470,10369,13101
0.54,2,3,6851,9683,6076
1.00,3,0,7055,10175,10175
1.01,3,1,7151,10251,13936
1.02,3,2,6470,10372,12984
1.03,3,3,6852,9684,6067
1.51,4,0,7056,10172,10237
1.52,4,1,7152,10246,13967
1.52,4,2,6472,10374,13016
1.53,4,3,6852,9683,6010
2.00,5,0,7055,10175,10202
2.01,5,1,7149,10241,13687
2.02,5,2,6468,10372,12999
2.03,5,3,6851,9681,6052
2.51,6,0,7054,10174,10110
2.52,6,1,7152,10247,13947
2.52,6,2,6472,10367,13016
2.53,6,3,6850,9681,6045
3.00,7,0,7055,10173,10239
3.01,7,1,7152,10248,13695
3.02,7,2,6471,10366,12973
3.03,7,3,6853,9678,6016
3.51,8,0,7055,10178,10179
3.52,8,1,7154,10252,13927
3.52,8,2,6471,10370,13050
3.53,8,3,6851,9678,6019
4.01,9,0,7055,10174,10232
4.01,9,1,7152,10249,13871
4.03,9,2,6471,10370,13070
4.03,9,3,6851,9680,6012
4.51,10,0,7055,10179,10240
4.52,10,1,7151,10253,13904
4.53,10,2,6471,10369,12929
4.53,10,3,6853,9684,6045
5.01,11,0,7054,10174,10229
5.01,11,1,7150,10247,14028
5.03,11,2,6471,10371,13054
5.03,11,3,6852,9678,6021
5.51,12,0,7055,10177,10165
5.52,12,1,7151,10255,13938
5.53,12,2,6471,10367,13015
5.53,12,3,6851,9678,6040
6.01,13,0,7055,10177,10171
6.01,13,1,7149,10247,14091
6.03,13,2,6471,10371,13005
6.03,13,3,6850,9683,6033
6.51,14,0,7055,10172,10136
6.52,14,1,7150,10250,14038
6.53,14,2,6471,10373,13005
6.53,14,3,6851,9682,5978
7.01,15,0,7054,10175,10222
7.01,15,1,7151,10255,13852
7.03,15,2,6472,10374,13097
7.03,15,3,6852,9686,6025
7.51,16,0,7056,10179,10227
7.52,16,1,7152,10252,13723
7.53,16,2,6472,10373,13118
7.53,16,3,6852,9684,6046
8.01,17,0,7055,10177,10261
8.02,17,1,7153,10245,13794
8.02,17,2,6472,10375,13081
8.03,17,3,6852,9681,6068
8.51,18,0,7055,10175,10169
8.52,18,1,7151,10248,14061
8.52,18,2,6472,10377,13112
8.53,18,3,6852,9682,6024
9.01,19,0,7055,10184,10186
9.02,19,1,7152,10244,13806
9.02,19,2,6471,10380,12984
9.03,19,3,6851,9677,6079
9.51,20,0,7055,10178,10142
9.52,20,1,7151,10240,13857
9.52,20,2,6471,10378,13074
9.53,20,3,6851,9674,6027
10.01,21,0,7056,10179,10174
10.02,21,1,7152,10246,13899
10.02,21,2,6470,10379,12942
10.03,21,3,6851,9676,6059
10.51,22,0,7055,10178,10257
10.52,22,1,7153,10247,13971
10.52,22,2,6472,10380,13084
10.53,22,3,6852,9673,6080
11.01,23,0,7056,10177,10336
11.02,23,1,7153,10241,14108
11.02,23,2,6470,10375,12992
11.03,23,3,6851,9682,6023
11.51,24,0,7055,10179,10160
11.52,24,1,7155,10244,13860
11.52,24,2,6470,10376,13000
11.53,24,3,6852,9674,6013
