Time,ChipID,T1,T2,T3
0.01,1,0,6853,10928,1756
0.02,1,1,6949,10951,2304
0.03,1,2,6292,11071,2119
0.04,1,3,6651,10471,1074
0.51,2,0,6858,10932,1767
0.52,2,1,6948,10942,2266
0.52,2,2,6292,11076,2141
0.54,2,3,6654,10466,1077
1.00,3,0,6857,10931,1770
1.01,3,1,6948,10941,2291
1.02,3,2,6291,11078,2131
1.03,3,3,6653,10465,1069
1.51,4,0,6858,10936,1779
1.52,4,1,6947,10940,2318
1.52,4,2,6294,11077,2135
1.53,4,3,6652,10461,1078
2.00,5,0,6858,10932,1785
2.01,5,1,6948,10937,2276
2.02,5,2,6292,11081,2132
2.03,5,3,6653,10460,1080
2.51,6,0,6858,10935,1795
2.52,6,1,6944,10934,2295
2.52,6,2,6292,11080,2160
2.53,6,3,6654,10455,1085
3.00,7,0,6858,10932,1770
3.01,7,1,6948,10932,2316
3.02,7,2,6293,11079,2138
3.03,7,3,6655,10458,1082
3.51,8,0,6858,10931,1781
3.52,8,1,6949,10935,2316
3.52,8,2,6293,11078,2129
3.53,8,3,6654,10456,1095
4.01,9,0,6861,10934,1781
4.01,9,1,6948,10930,2313
4.03,9,2,6294,11077,2156
4.03,9,3,6655,10453,1085
4.51,10,0,6860,10931,1787
4.52,10,1,6948,10930,2313
4.53,10,2,6292,11077,2151
4.53,10,3,6653,10452,1092
5.01,11,0,6858,10932,1798
5.01,11,1,6947,10930,2365
5.03,11,2,6293,11077,2144
5.03,11,3,6655,10450,1091
5.51,12,0,6860,10939,1800
5.52,12,1,6949,10924,2348
5.53,12,2,6293,11084,2172
5.53,12,3,6655,10445,1090
6.01,13,0,6858,10938,1821
6.01,13,1,6951,10918,2324
6.03,13,2,6294,11085,2159
6.03,13,3,6656,10440,1093
6.51,14,0,6860,10932,1797
6.52,14,1,6949,10918,2381
6.53,14,2,6294,11081,2168
6.53,14,3,6655,10442,1105
7.01,15,0,6860,10934,1812
7.01,15,1,6948,10920,2349
