Time,ChipID,T1,T2,T3
0.01,1,0,7043,10235,8951
0.02,1,1,7140,10296,12207
0.03,1,2,6461,10421,11271
0.04,1,3,6844,9729,5237
0.51,2,0,7045,10237,8906
0.52,2,1,7141,10299,12066
0.52,2,2,6460,10422,11179
0.54,2,3,6843,9738,5281
1.00,3,0,7045,10232,8850
1.01,3,1,7142,10298,11928
1.02,3,2,6459,10418,11186
1.03,3,3,6844,9736,5280
1.51,4,0,7045,10223,8942
1.52,4,1,7140,10312,11856
1.52,4,2,6461,10413,11198
1.53,4,3,6844,9748,5243
2.00,5,0,7046,10224,8854
2.01,5,1,7140,10306,12207
2.02,5,2,6461,10412,11177
2.03,5,3,6844,9741,5319
2.51,6,0,7044,10236,8908
2.52,6,1,7141,10302,12177
2.52,6,2,6460,10418,11281
2.53,6,3,6843,9740,5254
3.00,7,0,7046,10232,8890
3.01,7,1,7142,10293,11900
3.02,7,2,6461,10417,11246
3.03,7,3,6844,9731,5272
3.51,8,0,7045,10224,8822
3.52,8,1,7142,10308,11983
3.52,8,2,6460,10410,11222
3.53,8,3,6844,9750,5229
4.01,9,0,7045,10222,8917
4.01,9,1,7143,10301,12135
4.03,9,2,6461,10411,11150
4.03,9,3,6844,9739,5280
4.51,10,0,7045,10231,8809
4.52,10,1,7140,10296,12160
4.53,10,2,6460,10417,11241
4.53,10,3,6843,9743,5313
5.01,11,0,7046,10232,8891
5.01,11,1,7142,10298,11989
5.03,11,2,6461,10417,11310
5.03,11,3,6844,9739,5295
5.51,12,0,7045,10233,8908
5.52,12,1,7143,10301,11941
5.53,12,2,6460,10420,11363
5.53,12,3,6844,9738,5271
6.01,13,0,7047,10228,8893
6.01,13,1,7142,10289,12118
6.03,13,2,6461,10420,11279
6.03,13,3,6844,9733,5270
6.51,14,0,7046,10234,8937
6.52,14,1,7140,10297,12126
6.53,14,2,6460,10417,11285
6.53,14,3,6844,9740,5262
7.01,15,0,7047,10232,8835
7.01,15,1,7143,10296,12135
7.03,15,2,6459,10419,11272
7.03,15,3,6845,9733,5267
7.51,16,0,7046,10241,8949
7.52,16,1,7143,10302,12113
7.53,16,2,6459,10421,11234
7.53,16,3,6842,9732,5254
8.01,17,0,7047,10241,8848
8.02,17,1,7142,10297,12203
8.02,17,2,6460,10422,11329
8.03,17,3,6844,9732,5256
8.51,18,0,7047,10235,8808
8.52,18,1,7141,10294,12162
8.52,18,2,6462,10423,11204
8.53,18,3,6844,9736,5228
9.01,19,0,7046,10232,8765
9.02,19,1,7140,10291,11914
9.02,19,2,6460,10424,11254
